"date","adm_cd","m00","m05","m10","m15","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","m75","m80","m85","f00","f05","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","f75","f80","f85","total"
"20240317","45180400","0.0","4.04","12.12","12.12","21.21","46.46","29.29","39.39","49.49","57.57","113.12","107.06","110.09","102.01","62.62","42.42","27.27","29.29","0.0","6.06","10.1","6.06","14.14","15.15","15.15","28.28","26.26","39.39","63.63","72.72","108.07","78.78","55.55","35.35","29.29","39.39","2005.86"
"20240329","45180360","0.0","1.01","2.02","5.05","10.1","17.17","23.23","24.24","23.23","34.34","39.39","51.51","52.52","39.39","30.3","24.24","6.06","4.04","0.0","4.04","10.1","8.08","13.13","22.22","9.09","10.1","7.07","14.14","29.29","34.34","41.41","36.36","14.14","22.22","15.15","11.11","902.94"
"20240325","47770340","0.0","1.01","2.02","2.02","8.08","14.14","14.14","12.12","24.24","26.26","53.53","56.56","79.79","63.63","41.41","25.25","21.21","13.13","0.0","0.0","5.05","0.0","3.03","7.07","8.08","12.12","18.18","20.2","39.39","51.51","47.47","54.54","37.37","24.24","35.35","13.13","1015.05"
"20240328","45180510","0.0","76.76","143.42","161.6","229.27","481.77","441.37","362.59","429.25","512.07","711.04","735.28","666.6","449.45","209.07","149.48","70.7","79.79","0.0","66.66","132.31","178.77","208.06","364.61","272.7","245.43","385.82","435.31","612.06","573.68","480.76","327.24","206.04","148.47","108.07","119.18","14501.58"
"20240306","47770360","0.0","16.16","36.36","71.71","57.57","91.91","97.97","85.85","132.31","122.21","200.99","239.37","243.41","176.75","113.12","72.72","54.54","31.31","0.0","18.18","54.54","45.45","24.24","65.65","67.67","47.47","86.86","112.11","173.72","211.09","217.15","175.74","99.99","75.75","60.6","56.56","4196.55"
"20240320","45180370","0.0","0.0","12.12","2.02","14.14","21.21","19.19","27.27","22.22","29.29","52.52","65.65","82.82","69.69","33.33","22.22","16.16","16.16","0.0","1.01","3.03","2.02","4.04","8.08","9.09","5.05","19.19","19.19","29.29","37.37","63.63","40.4","22.22","24.24","30.3","29.29","1115.04"
"20240330","45180400","0.0","7.07","12.12","6.06","24.24","39.39","38.38","42.42","47.47","72.72","119.18","126.25","129.28","116.15","71.71","41.41","28.28","37.37","0.0","8.08","10.1","10.1","13.13","20.2","24.24","24.24","32.32","58.58","64.64","80.8","107.06","75.75","55.55","42.42","30.3","30.3","2181.6"
"20240323","45180250","0.0","7.07","20.2","21.21","27.27","59.59","56.56","72.72","103.02","109.08","159.58","153.52","171.7","119.18","81.81","47.47","33.33","29.29","0.0","8.08","13.13","17.17","24.24","31.31","36.36","36.36","54.54","71.71","76.76","131.3","123.22","79.79","64.64","54.54","54.54","47.47","2999.7"
"20240326","45180310","0.0","5.05","21.21","5.05","61.61","125.24","145.44","135.34","142.41","174.73","210.08","222.2","216.14","153.52","68.68","61.61","18.18","29.29","0.0","14.14","12.12","5.05","40.4","56.56","55.55","53.53","52.52","81.81","144.43","162.61","134.33","67.67","45.45","42.42","33.33","38.38","3917.79"
"20240331","45180430","0.0","2.02","3.03","1.01","2.02","7.07","8.08","16.16","13.13","27.27","26.26","43.43","54.54","44.44","13.13","12.12","3.03","4.04","0.0","1.01","7.07","0.0","4.04","10.1","10.1","13.13","7.07","13.13","28.28","48.48","44.44","27.27","10.1","14.14","13.13","8.08","655.49"
"20240302","43750250","0.0","119.18","227.25","396.93","541.36","808.0","830.22","695.89","758.51","816.08","1046.36","1102.92","986.77","627.21","335.32","220.18","129.28","200.99","0.0","127.26","253.51","324.21","381.78","549.44","476.72","481.77","618.12","705.99","917.08","907.99","793.86","501.97","329.26","221.19","169.68","191.9","26345.85"
"20240306","45180350","0.0","0.0","5.05","5.05","12.12","14.14","18.18","21.21","20.2","32.32","41.41","59.59","72.72","73.73","27.27","27.27","18.18","12.12","0.0","0.0","3.03","0.0","5.05","4.04","12.12","9.09","9.09","23.23","28.28","32.32","52.52","46.46","40.4","27.27","25.25","23.23","1027.17"
"20240303","43750340","0.0","5.05","5.05","7.07","15.15","40.4","60.6","52.52","69.69","62.62","90.9","138.37","128.27","115.14","48.48","23.23","12.12","11.11","0.0","8.08","9.09","5.05","14.14","22.22","27.27","44.44","42.42","41.41","68.68","111.1","95.95","79.79","41.41","20.2","25.25","23.23","3032.02"
"20240315","45180310","0.0","5.05","23.23","8.08","57.57","127.26","142.41","144.43","153.52","166.65","213.11","231.29","231.29","149.48","76.76","55.55","18.18","29.29","0.0","15.15","12.12","8.08","39.39","60.6","54.54","59.59","59.59","77.77","139.38","150.49","137.36","68.68","46.46","41.41","33.33","36.36","3951.12"
"20240316","43750350","0.0","20.2","30.3","46.46","184.83","524.19","480.76","410.06","376.73","355.52","433.29","494.9","423.19","330.27","128.27","59.59","43.43","172.71","0.0","16.16","37.37","27.27","65.65","151.5","168.67","145.44","163.62","154.53","295.93","291.89","288.86","210.08","77.77","47.47","36.36","135.34","10735.29"
"20240330","45180535","0.0","96.96","242.4","303.0","314.11","406.02","341.38","361.58","481.77","460.56","648.42","672.66","655.49","460.56","234.32","157.56","84.84","52.52","0.0","103.02","269.67","296.94","285.83","404.0","320.17","360.57","455.51","514.09","626.2","616.1","471.67","309.06","226.24","129.28","91.91","97.97","14801.55"
"20240303","45180595","0.0","6.06","22.22","16.16","29.29","87.87","98.98","88.88","97.97","79.79","120.19","148.47","166.65","97.97","54.54","34.34","25.25","25.25","0.0","13.13","16.16","13.13","32.32","86.86","71.71","57.57","48.48","64.64","78.78","90.9","89.89","64.64","36.36","30.3","26.26","27.27","2808.81"
"20240329","45180570","0.0","23.23","62.62","55.55","93.93","127.26","155.54","132.31","182.81","213.11","337.34","371.68","356.53","262.6","120.19","89.89","55.55","70.7","0.0","23.23","46.46","61.61","90.9","133.32","104.03","109.08","132.31","179.78","250.48","258.56","242.4","213.11","122.21","72.72","64.64","47.47","6541.77"
"20240309","43750253","0.0","89.89","145.44","181.8","244.42","552.47","679.73","617.11","687.81","629.23","574.69","610.04","499.95","306.03","117.16","59.59","30.3","153.52","0.0","79.79","165.64","148.47","176.75","368.65","414.1","388.85","413.09","450.46","476.72","389.86","322.19","213.11","68.68","55.55","28.28","99.99","13153.23"
"20240327","45180330","0.0","3.03","10.1","4.04","30.3","21.21","35.35","25.25","53.53","54.54","77.77","85.85","105.04","67.67","40.4","27.27","15.15","21.21","0.0","1.01","7.07","1.01","12.12","18.18","19.19","16.16","19.19","26.26","32.32","50.5","71.71","38.38","28.28","30.3","28.28","33.33","1519.04"
"20240314","43750370","0.0","30.3","80.8","101.0","209.07","512.07","494.9","461.57","486.82","462.58","597.92","629.23","478.74","289.87","93.93","50.5","27.27","137.36","1.01","32.32","72.72","89.89","127.26","242.4","190.89","197.96","221.19","250.48","340.37","332.29","269.67","158.57","91.91","45.45","37.37","109.08","11824.07"
"20240319","47770370","0.0","4.04","11.11","5.05","15.15","40.4","47.47","46.46","62.62","62.62","107.06","129.28","110.09","104.03","68.68","35.35","19.19","13.13","0.0","2.02","10.1","3.03","16.16","37.37","21.21","20.2","36.36","31.31","73.73","93.93","113.12","83.83","55.55","32.32","25.25","35.35","1933.14"
"20240329","45180565","0.0","25.25","126.25","190.89","124.23","118.17","99.99","104.03","124.23","111.1","214.12","219.17","213.11","137.36","93.93","68.68","46.46","25.25","0.0","21.21","105.04","61.61","121.2","125.24","101.0","88.88","129.28","161.6","243.41","233.31","197.96","143.42","87.87","66.66","43.43","53.53","4892.44"
"20240331","45180330","0.0","4.04","10.1","10.1","21.21","21.21","22.22","26.26","40.4","45.45","54.54","67.67","80.8","61.61","41.41","30.3","21.21","19.19","0.0","3.03","8.08","3.03","9.09","21.21","17.17","20.2","18.18","24.24","35.35","50.5","65.65","46.46","28.28","25.25","29.29","25.25","1332.19"
"20240328","47770360","0.0","16.16","38.38","61.61","46.46","91.91","92.92","90.9","148.47","126.25","195.94","236.34","264.62","187.86","115.14","74.74","54.54","31.31","0.0","16.16","47.47","48.48","35.35","72.72","58.58","51.51","106.05","130.29","179.78","204.02","199.98","180.79","101.0","72.72","60.6","55.55","4255.13"
"20240307","45180330","0.0","1.01","9.09","4.04","39.39","26.26","40.4","35.35","56.56","48.48","84.84","87.87","104.03","63.63","35.35","25.25","16.16","20.2","0.0","1.01","7.07","1.01","10.1","25.25","13.13","23.23","20.2","26.26","27.27","43.43","60.6","44.44","27.27","23.23","30.3","26.26","1500.86"
"20240315","45180520","0.0","7.07","27.27","17.17","26.26","21.21","29.29","34.34","31.31","51.51","60.6","82.82","71.71","61.61","28.28","15.15","12.12","12.12","0.0","10.1","34.34","9.09","9.09","25.25","31.31","24.24","25.25","43.43","63.63","64.64","55.55","38.38","25.25","20.2","18.18","11.11","1374.61"
"20240310","45180595","0.0","6.06","24.24","15.15","40.4","96.96","88.88","76.76","91.91","92.92","140.39","165.64","171.7","122.21","70.7","38.38","30.3","23.23","0.0","12.12","21.21","13.13","45.45","103.02","81.81","55.55","55.55","71.71","93.93","104.03","95.95","67.67","41.41","35.35","28.28","36.36","3073.43"
"20240331","45180595","0.0","12.12","30.3","23.23","51.51","95.95","106.05","92.92","81.81","90.9","149.48","187.86","181.8","123.22","65.65","40.4","30.3","22.22","0.0","10.1","19.19","20.2","40.4","101.0","74.74","68.68","65.65","86.86","106.05","119.18","98.98","62.62","45.45","34.34","36.36","30.3","3235.03"
"20240318","43750340","0.0","1.01","2.02","3.03","12.12","33.33","45.45","32.32","37.37","40.4","58.58","109.08","132.31","117.16","61.61","28.28","13.13","11.11","0.0","3.03","3.03","5.05","12.12","17.17","12.12","24.24","20.2","48.48","58.58","93.93","86.86","86.86","39.39","26.26","26.26","18.18","2757.3"
"20240331","43750320","0.0","17.17","22.22","33.33","110.09","128.27","141.4","134.33","165.64","169.68","225.23","285.83","260.58","207.05","92.92","52.52","26.26","48.48","0.0","18.18","26.26","21.21","42.42","107.06","63.63","67.67","81.81","112.11","180.79","227.25","208.06","134.33","74.74","34.34","38.38","52.52","5713.57"
"20240305","47770340","0.0","1.01","2.02","1.01","7.07","11.11","14.14","12.12","28.28","23.23","43.43","45.45","73.73","53.53","38.38","25.25","21.21","10.1","0.0","0.0","5.05","0.0","3.03","6.06","9.09","11.11","16.16","17.17","32.32","47.47","45.45","60.6","35.35","23.23","31.31","10.1","942.33"
"20240305","43750320","0.0","6.06","9.09","22.22","124.23","148.47","187.86","173.72","189.88","196.95","264.62","310.07","260.58","168.67","79.79","44.44","23.23","67.67","0.0","9.09","10.1","15.15","27.27","63.63","61.61","47.47","50.5","84.84","136.35","125.24","137.36","91.91","56.56","29.29","35.35","46.46","5491.37"
"20240302","45180420","0.0","6.06","11.11","9.09","15.15","11.11","20.2","16.16","25.25","30.3","81.81","84.84","81.81","67.67","25.25","23.23","24.24","14.14","0.0","7.07","5.05","3.03","6.06","15.15","8.08","23.23","22.22","23.23","60.6","67.67","58.58","43.43","29.29","19.19","29.29","27.27","1299.87"
"20240326","45180400","0.0","3.03","7.07","3.03","12.12","33.33","33.33","33.33","37.37","59.59","87.87","99.99","109.08","98.98","67.67","36.36","29.29","27.27","0.0","3.03","6.06","5.05","10.1","10.1","18.18","19.19","16.16","39.39","37.37","59.59","113.12","84.84","54.54","44.44","31.31","27.27","1889.71"
"20240328","45180310","0.0","3.03","22.22","5.05","54.54","125.24","142.41","133.32","139.38","157.56","196.95","214.12","214.12","133.32","63.63","59.59","16.16","27.27","0.0","15.15","10.1","7.07","34.34","58.58","52.52","61.61","57.57","72.72","125.24","150.49","131.3","66.66","49.49","39.39","29.29","33.33","3758.21"
"20240316","47770350","0.0","11.11","18.18","21.21","75.75","75.75","85.85","105.04","99.99","108.07","155.54","163.62","188.87","139.38","96.96","58.58","28.28","20.2","0.0","15.15","19.19","13.13","13.13","34.34","50.5","52.52","57.57","73.73","119.18","135.34","175.74","111.1","64.64","44.44","37.37","19.19","2979.5"
"20240309","47770340","0.0","2.02","3.03","8.08","9.09","10.1","13.13","16.16","36.36","37.37","50.5","68.68","83.83","70.7","39.39","26.26","19.19","11.11","0.0","0.0","5.05","7.07","4.04","2.02","9.09","11.11","16.16","19.19","35.35","69.69","47.47","61.61","35.35","22.22","32.32","8.08","1078.68"
"20240305","45180410","0.0","1.01","9.09","5.05","2.02","21.21","15.15","19.19","18.18","29.29","47.47","54.54","48.48","47.47","23.23","16.16","16.16","10.1","0.0","2.02","4.04","3.03","5.05","6.06","6.06","5.05","8.08","17.17","31.31","27.27","36.36","35.35","18.18","21.21","28.28","27.27","848.4"
