"ETL_YM","CTY_CD","CDY_NM","m_10_cnt","m_15_cnt","m_20_cnt","m_25_cnt","m_30_cnt","m_35_cnt","m_40_cnt","m_45_cnt","m_50_cnt","m_55_cnt","m_60_cnt","f_10_cnt","f_15_cnt","f_20_cnt","f_25_cnt","f_30_cnt","f_35_cnt","f_40_cnt","f_45_cnt","f_50_cnt","f_55_cnt","f_60_cnt"
"202402","41570000","김포시","4363.0","3000.0","4908.0","7824.0","9227.0","8861.0","10614.0","8923.0","8730.0","8232.0","19932.0","4486.0","2857.0","3708.0","6002.0","6766.0","6919.0","8111.0","6803.0","7602.0","7261.0","18205.0"
"202402","41450000","하남시","2902.0","2024.0","2728.0","5424.0","6858.0","6625.0","8282.0","6614.0","6598.0","5801.0","14755.0","3176.0","2042.0","3123.0","5535.0","6261.0","5926.0","6707.0","5145.0","5727.0","5616.0","14514.0"
"202402","41465000","용인시 수지구","3106.0","2794.0","3026.0","4799.0","5527.0","5394.0","6897.0","6104.0","6199.0","5082.0","13495.0","3285.0","2742.0","3409.0","4766.0","5334.0","5177.0","6165.0","5766.0","6316.0","5538.0","14658.0"
"202402","41111000","수원시 장안구","1796.0","2002.0","3554.0","5542.0","5281.0","3998.0","4300.0","3875.0","4664.0","4628.0","10789.0","1797.0","2043.0","3792.0","5061.0","4550.0","3362.0","3691.0","3590.0","4870.0","4966.0","10960.0"
"202402","41131000","성남시 수정구","1622.0","1556.0","3382.0","5790.0","6519.0","5746.0","6006.0","5043.0","5483.0","4980.0","12360.0","1715.0","1562.0","3099.0","5066.0","5351.0","4330.0","4442.0","3688.0","4794.0","4904.0","12701.0"
"202402","41480000","파주시","3032.0","2719.0","8138.0","7545.0","7660.0","6873.0","7855.0","7107.0","8252.0","7883.0","18482.0","3177.0","2386.0","3327.0","5291.0","5887.0","5233.0","5888.0","5682.0","7236.0","6858.0","17109.0"
"202402","41220000","평택시","3379.0","2667.0","6755.0","13056.0","13972.0","11264.0","12202.0","10201.0","11588.0","10467.0","18717.0","3399.0","2376.0","4298.0","7479.0","7815.0","6612.0","6932.0","6000.0","7759.0","7608.0","15163.0"
"202402","41150000","의정부시","2847.0","2624.0","4459.0","7061.0","7324.0","5974.0","6881.0","6084.0","7436.0","7202.0","18797.0","2980.0","2539.0","4920.0","7332.0","6483.0","5232.0","5715.0","5416.0","7774.0","7789.0","19814.0"
"202402","41210000","광명시","1798.0","1655.0","2191.0","3792.0","4681.0","4315.0","4847.0","4296.0","4701.0","4559.0","10857.0","1787.0","1607.0","2231.0","3694.0","3953.0","3565.0","3957.0","3628.0","4360.0","4262.0","11117.0"
"202402","41500000","이천시","1742.0","1645.0","3476.0","5438.0","5161.0","4132.0","4472.0","4202.0","5094.0","5308.0","11516.0","1732.0","1424.0","2301.0","3486.0","3060.0","2508.0","2791.0","3136.0","4213.0","4200.0","9407.0"
"202402","41115000","수원시 팔달구","1270.0","1691.0","3468.0","6148.0","6111.0","4531.0","4194.0","3618.0","4271.0","4060.0","9754.0","1276.0","1880.0","4149.0","6004.0","5000.0","3459.0","3422.0","3335.0","4480.0","4495.0","10158.0"
"202402","41650000","포천시","1121.0","1147.0","4303.0","4052.0","3851.0","2970.0","3026.0","2946.0","3983.0","4476.0","10955.0","977.0","826.0","1589.0","2284.0","1973.0","1712.0","1891.0","2127.0","3255.0","3595.0","8599.0"
"202402","41310000","구리시","1861.0","1626.0","2165.0","3947.0","4163.0","3570.0","4596.0","3932.0","4228.0","4327.0","10241.0","1937.0","1659.0","2433.0","3840.0","3722.0","3267.0","3829.0","3358.0","4587.0","4661.0","10211.0"
"202402","41430000","의왕시","985.0","806.0","1287.0","2631.0","3345.0","2860.0","3067.0","2500.0","2899.0","2970.0","7447.0","1025.0","797.0","1294.0","2304.0","2601.0","2208.0","2216.0","1934.0","2829.0","3104.0","7178.0"
"202402","41463000","용인시 기흥구","3878.0","3492.0","4595.0","8010.0","8318.0","7796.0","9756.0","8768.0","9347.0","7842.0","17826.0","4006.0","3441.0","4882.0","6938.0","6868.0","6211.0","7867.0","7440.0","8868.0","7654.0","18455.0"
"202402","41135000","성남시 분당구","3965.0","4297.0","5337.0","10981.0","12824.0","11222.0","12770.0","11090.0","11377.0","9132.0","22858.0","4058.0","4548.0","6215.0","11378.0","11212.0","9262.0","10080.0","9436.0","11244.0","10124.0","25184.0"
"202402","41287000","고양시 일산서구","1995.0","2082.0","2614.0","4229.0","4418.0","3740.0","4251.0","4198.0","5189.0","4985.0","12117.0","2084.0","2134.0","2730.0","4054.0","3933.0","3333.0","3928.0","3930.0","5654.0","5546.0","12457.0"
"202402","41590000","화성시","7030.0","5070.0","8970.0","19881.0","23864.0","20513.0","21570.0","17715.0","18489.0","16967.0","31344.0","7266.0","4813.0","7201.0","12583.0","14645.0","13098.0","13707.0","11613.0","13352.0","12479.0","24857.0"
"202402","41550000","안성시","1336.0","1132.0","2438.0","4179.0","4354.0","3860.0","4177.0","3788.0","4631.0","4622.0","10722.0","1294.0","1054.0","1964.0","2586.0","2629.0","2357.0","2573.0","2472.0","3298.0","3599.0","8703.0"
"202402","41281000","고양시 덕양구","3152.0","2545.0","4766.0","7045.0","8495.0","7800.0","8884.0","7489.0","8550.0","8034.0","21051.0","3112.0","2413.0","4128.0","6989.0","7825.0","6724.0","7170.0","6035.0","8060.0","8220.0","20718.0"
"202402","41285000","고양시 일산동구","1947.0","2034.0","3590.0","5695.0","5715.0","4896.0","5558.0","5288.0","6820.0","6294.0","15049.0","2023.0","2134.0","3415.0","5574.0","5178.0","4160.0","4823.0","4752.0","6906.0","6765.0","15148.0"
"202402","41117000","수원시 영통구","2553.0","2567.0","3918.0","7836.0","8468.0","6928.0","7234.0","6290.0","6407.0","5318.0","10734.0","2596.0","2538.0","4507.0","7269.0","7223.0","5450.0","5575.0","5123.0","6132.0","5582.0","10787.0"
